GRB,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec],XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Spectral Index (Gamma),XRT Column Density (NH) [10^21 cm^-2],UVOT Time to First Observation [sec],Redshift,log(BAT T90 [sec]),log(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),log(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),log(XRT Time to First Observation [sec]),log(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT Spectral Index (Gamma)),log(XRT Column Density (NH) [10^21 cm^-2]),log(UVOT Time to First Observation [sec]),log(Redshift),NORM(BAT T90 [sec]),NORM(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),NORM(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),NORM(XRT Time to First Observation [sec]),NORM(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT Spectral Index (Gamma)),NORM(XRT Column Density (NH) [10^21 cm^-2]),NORM(UVOT Time to First Observation [sec]),NORM(Redshift)
200205B,107.76,-56.488,458,54,2,342.71,126,0.1026214,0.058989,1.90881,5.74E-05,352,1.465,2.660865478,1.73239376,0.301029996,2.534926777,2.100370545,-0.988762065,-1.229228966,0.280762702,16.75891189,2.546542663,0.165837625,0.420796175,0.017324257,0.006042296,0.092137922,2.06E-12,0.010439061,0.017718267,0.287417803,7.49E-07,0.072512648,0.239502281
191221B,154.831,-38.152,48,190,4.8,86.25,972,0.69073754,0.164183983,1.843,2.13E-05,92,1.19,1.681241237,2.278753601,0.681241237,1.935759104,2.987666265,-0.16068694,-0.784669213,0.265525335,16.3283796,1.963787827,0.075546961,0.043854004,0.061199471,0.014501511,0.013063895,1.59E-11,0.070264598,0.049315221,0.244698184,2.78E-07,0.009877138,0.193386101
191004B,49.2,-39.637,37.7,25,5,57.66,181,0.094501791,0.040924213,1.54076,0.200376,69,3.503,1.57634135,1.397940009,0.698970004,1.760874638,2.257678575,-1.024559961,-1.388019664,0.187734995,20.3018457,1.838849091,0.544440137,0.034384481,0.007968513,0.01510574,0.004248772,2.96E-12,0.009613102,0.012292226,0.048503418,0.002614271,0.004336305,0.581265093
190829A,44.542,-8.958,58.2,64,18,97.31,77.5,2.31421665,0.80497387,2.0913,11.196957,106,0.0785,1.764922985,1.806179974,1.255272505,1.988157473,1.889301703,0.364404014,-0.094218217,0.320416337,22.04910001,2.025305865,-1.105130343,0.05323159,0.020550376,0.054380665,0.016474012,1.26E-12,0.235411418,0.241786463,0.405878573,0.146084739,0.013249819,0.00699289
190719C,240.208,13.005,185.7,51,5.5,60.93,1690,0.81842736,0.63357744,1.5415,0.899137,71,2.469,2.268811904,1.707570176,0.740362689,1.784831178,3.227886705,-0.087019861,-0.198200295,0.187943529,20.95382587,1.851258349,0.39252109,0.170451411,0.016356422,0.016616314,0.005257008,2.76E-11,0.08325372,0.190304871,0.048983778,0.011730883,0.004818116,0.407868259
190627A,244.843,-5.302,1.6,0.99,1.1,109.76,79.8,0.46849824,0.36224076,1.95997,1.807500377,115,1.942,0.204119983,-0.004364805,0.041392685,2.040444098,1.902002891,-0.329292036,-0.441002684,0.292249424,21.2570784,2.06069784,0.288249226,0.001195182,0.000222602,0.003323263,0.020312707,1.30E-12,0.047657524,0.108804665,0.320627584,0.023582141,0.015417972,0.31949289
190114C,54.503,-26.938,361.5,830,101,63.95,7390,1.11783672,0.504969444,1.80689,76.647,74,0.42,2.558108302,2.919078092,2.004321374,1.805840549,3.868644438,0.048378372,-0.296734901,0.256931714,22.88449516,1.86923172,-0.37675071,0.332076859,0.267671065,0.305135952,0.006188161,1.21E-10,0.113710843,0.151675453,0.221257895,1,0.005540834,0.0642608
190114A,65.543,2.196,66.6,8,0.5,246.63,118,0.121858278,0.049489995,1.83214,4.41327,258,3.765,1.823474229,0.903089987,-0.301029996,2.392045903,2.071882007,-0.914144963,-1.30548259,0.262958657,21.6447605,2.411619706,0.575764981,0.060954307,0.002484111,0.001510574,0.062513682,1.93E-12,0.012395914,0.014865092,0.237648571,0.057579162,0.049867502,0.625201234
190106A,29.877,23.839,76.8,60,5.5,81.79,1980,0.736701,0.32045405,1.94587,5.53E-07,90,1.86,1.88536122,1.77815125,0.740362689,1.912700208,3.29666519,-0.132708741,-0.494234235,0.289113822,14.74272513,1.954242509,0.269512944,0.070331893,0.019259928,0.016616314,0.011688748,3.24E-11,0.074940186,0.096253375,0.311474771,7.21E-09,0.009395326,0.305741884
181110A,302.33,-36.878,138.4,99,3.7,63.99,5820,0.060183332,0.014063933,1.76057,0.766177067,72,1.505,2.14113609,1.995635195,0.568201724,1.80611211,3.764922985,-1.220523772,-1.851893211,0.245653297,20.88432915,1.857332496,0.1775365,0.126965156,0.031841791,0.011178248,0.006200494,9.51E-11,0.00612209,0.004224322,0.191189931,0.009996178,0.005059022,0.246210089
181020A,13.987,-47.372,238,81,7.7,55.57,604,0.35862288,0.060276048,1.93674,0.453975,122,2.938,2.376576957,1.908485019,0.886490725,1.744840397,2.781036939,-0.445362006,-1.21985523,0.287071322,20.65703194,2.086359831,0.468051791,0.218534522,0.026034778,0.02326284,0.003604365,9.87E-12,0.036480561,0.018104852,0.305548163,0.005922932,0.017104312,0.486517306
180728A,253.574,-54.037,8.68,296,132,1730.81,79.2,3.4480866,1.48441485,1.70111,3.866656,1740,0.117,0.938519725,2.471291711,2.120573931,3.238249396,1.898725182,0.537578165,0.17155529,0.230732398,21.58733554,3.240549248,-0.931814138,0.00770433,0.095396329,0.398791541,0.520129251,1.29E-12,0.350753226,0.445867165,0.152592323,0.050447584,0.406889906,0.013449155
180624A,318.096,-2.356,486.4,58,1.4,112.24,193,0.056534112,0.024646842,2.06008,1.26899,118,2.855,2.686993566,1.763427994,0.146128036,2.050147658,2.285557309,-1.247689425,-1.608238719,0.313884086,21.1034582,2.071882007,0.455606113,0.446906316,0.018614705,0.004229607,0.021077363,3.15E-12,0.005750877,0.007403064,0.385612557,0.016556291,0.016140689,0.472598605
180620B,357.514,-57.954,198.8,100,3.6,83.16,704,0.59865612,0.338653036,1.99236,1.646011,91,1.1175,2.29841638,2,0.556302501,1.919914481,2.847572659,-0.222822573,-0.470245027,0.299367814,21.21643273,1.959041392,0.048247532,0.182495173,0.032164403,0.010876133,0.012111159,1.15E-11,0.060897706,0.101719724,0.341653089,0.021475218,0.009636232,0.1812282
180329B,82.905,-23.694,210,33,1.4,103.59,45.7,0.0758394,0.02386783,1.86768,2.62957,113,1.998,2.322219295,1.51851394,0.146128036,2.015317833,1.6599162,-1.120105112,-1.622187064,0.271302468,21.41988474,2.053078443,0.300595484,0.19279213,0.010549408,0.004229607,0.018410318,7.45E-13,0.007714689,0.007169075,0.260718853,0.03430754,0.01493616,0.328883821
180325A,157.416,24.461,94.1,65,9.4,73.38,468,0.122512254,0.025605485,1.85846,13.9058,82,2.25,1.973589623,1.812913357,0.973127854,1.865577707,2.670245853,-0.91182047,-1.591666994,0.269153218,22.14319598,1.913813852,0.352182518,0.086237014,0.020872988,0.028398792,0.009095702,7.65E-12,0.012462439,0.007691007,0.254733822,0.18142654,0.00746808,0.37114301
180314A,99.208,-24.53,51.2,110,7.9,159.29,158,0.115483805,0.055489547,1.76908,7.38E-13,167,1.445,1.709269961,2.041392685,0.897627091,2.202188512,2.198657087,-0.937478915,-1.255788821,0.247747473,8.868056362,2.222716471,0.159867847,0.046795992,0.035390522,0.023867069,0.035584237,2.58E-12,0.011747477,0.016667151,0.196714075,0,0.027945073,0.236148377
180115A,12.04,-15.632,40.9,7.6,0.6,131.07,35.7,0.0634289,0.023520684,1.9512,0.411125,140,2.487,1.611723308,0.880813592,-0.22184875,2.117503299,1.552668216,-1.19771282,-1.628550053,0.290301787,20.61397389,2.146128036,0.395675785,0.037326469,0.002355067,0.001812689,0.026883196,5.82E-13,0.006452243,0.007064804,0.314934664,0.005363876,0.021440617,0.410886772
171222A,148.273,35.624,174.8,19,0.7,169.7,669,0.06646176,0.05870592,1.99001,0.106857003,176,2.409,2.242541428,1.278753601,-0.15490196,2.229681842,2.825426118,-1.177428162,-1.231318102,0.298855259,20.02880299,2.245512668,0.3818368,0.160430266,0.006032842,0.002114804,0.038793941,1.09E-11,0.006760757,0.017633239,0.34012762,0.001394145,0.030113226,0.397806547
171205A,167.423,-12.599,189.4,36,1,144.69,281,0.079512352,0.08806688,1.66173,0.0472535,154,0.0368,2.277379975,1.556302501,0,2.160438517,2.44870632,-1.0995654,-1.055187389,0.22056046,19.67443398,2.187520721,-1.434152181,0.173853084,0.011517244,0.003021148,0.031082635,4.59E-12,0.008088316,0.026452262,0.12702936,0.000616508,0.024813298,0
170705A,191.708,18.298,217.3,95,13.9,72.29,157,0.91321862,0.58773934,1.89159,1.227214,82,2.01,2.337059726,1.977723605,1.1430148,1.859078225,2.195899652,-0.039425242,-0.230815239,0.276827009,21.0889203,1.913813852,0.303196057,0.19950354,0.030551344,0.041993958,0.008759624,2.56E-12,0.092896268,0.176536682,0.276239687,0.016011246,0.00746808,0.330896163
170531B,286.901,-16.414,164.13,20,0.8,140.9,273,0.03914964,0.02130491,2.06685,4.31E-12,152,2.366,2.215187969,1.301029996,-0.096910013,2.148910993,2.436162647,-1.407272227,-1.671520296,0.315308959,9.63447727,2.181843588,0.37401474,0.150620576,0.006355454,0.002416918,0.029914069,4.46E-12,0.003982459,0.006399262,0.390007205,4.66E-14,0.024331486,0.390595653
170519A,163.429,25.374,216.4,11,0.7,80.4,358,0.16940942,0.07332882,1.97351,2.18739,93,0.818,2.335257256,1.041392685,-0.15490196,1.905256049,2.553883027,-0.771062444,-1.134725304,0.295239331,21.33992622,1.968482949,-0.087246696,0.198676106,0.003451947,0.002114804,0.011260171,5.85E-12,0.017233007,0.022025455,0.329416881,0.028538495,0.010118044,0.131003488
170202A,152.526,5.021,46.2,33,4.7,72.49,221,0.12777926,0.052771292,1.99768,5.19173,84,3.645,1.664641976,1.51851394,0.672097858,1.8602781,2.344392274,-0.893539631,-1.277602273,0.300525922,21.7153121,1.924279286,0.561697533,0.042199136,0.010549408,0.014199396,0.008821289,3.61E-12,0.01299822,0.015850681,0.345106491,0.067735593,0.007949892,0.605077811
170113A,61.735,-71.933,20.66,6.7,1.1,58.73,101,0.26535483,0.10533042,1.81917,2.77299,68,1.968,1.315130317,0.826074803,0.041392685,1.768860001,2.004321374,-0.576173003,-0.977446184,0.259873285,21.4429483,1.832508913,0.294025094,0.018718397,0.002064716,0.003323263,0.004578684,1.65E-12,0.02699296,0.031637635,0.229229281,0.036178715,0.004095399,0.323852965
161117A,322.053,-29.612,125.7,200,6.8,60.83,804,0.30637215,0.12784345,1.92624,7.53995,69,1.549,2.099335278,2.301029996,0.832508913,1.784117816,2.905256049,-0.513750716,-0.893321518,0.284710397,21.87736847,1.838849091,0.190051418,0.115289142,0.06442559,0.020543807,0.005226175,1.31E-11,0.031165406,0.038399775,0.298732238,0.098372409,0.004336305,0.253588677
161108A,180.776,24.905,105.1,11,0.6,80.33,863,0.10517084,0.0539835,2.00325,1.447928,90,1.159,2.021602716,1.041392685,-0.22184875,1.904877767,2.936010796,-0.978104657,-1.267738962,0.301735151,21.16074697,1.954242509,0.064083436,0.096350097,0.003451947,0.001812689,0.011238588,1.41E-11,0.0106984,0.016214787,0.348722176,0.018890863,0.009395326,0.18818755
161017A,142.77,43.125,216.3,53,2.8,57.66,324,0.206721424,0.073743474,1.99404,1.58757,68,2.0127,2.335056519,1.72427587,0.447158031,1.760874638,2.51054501,-0.684614512,-1.132276407,0.299733866,21.20073288,1.832508913,0.303779047,0.198584168,0.017001645,0.008459215,0.004248772,5.29E-12,0.021028534,0.022150003,0.342743637,0.020712748,0.004095399,0.33134894
160410A,150.695,3.461,8.2,7.8,3.5,82.89,104,0.02677376,0.008810291,1.65672,1.33E-11,91,1.717,0.913813852,0.892094603,0.544068044,1.91850214,2.017033339,-1.572290634,-2.055009747,0.219249115,10.12385164,1.959041392,0.234770295,0.007263032,0.002419589,0.010574018,0.01202791,1.70E-12,0.002723534,0.002646308,0.123777191,1.64E-13,0.009636232,0.28176147
160327A,146.698,54.018,28,14,1.8,60.5,101,0.024402973,0.007790002,1.93554,0.532793,71,4.99,1.447158031,1.146128036,0.255272505,1.781755375,2.004321374,-1.612557261,-2.108462431,0.286802151,20.72655851,1.851258349,0.698100546,0.025466581,0.004419783,0.005438066,0.005124426,1.65E-12,0.002482368,0.002339849,0.3047692,0.006951257,0.004818116,0.830627851
160227A,195.034,78.672,316.5,31,0.6,151.85,267,0.4306198,0.281294937,1.72551,2.62964,161,2.38,2.500373714,1.491361694,-0.22184875,2.181414796,2.426511261,-0.365906005,-0.550838085,0.236917481,21.4198963,2.206825876,0.376576957,0.290705158,0.009904184,0.001812689,0.03329027,4.36E-12,0.043804377,0.084491324,0.168431234,0.034308453,0.026499639,0.392943386
160131A,78.17,-7.037,325,204,6.4,69.68,1290,0.40383488,0.166460087,2.02332,4.79697,78,0.97,2.511883361,2.309630167,0.806179974,1.843108142,3.11058971,-0.393796173,-0.778689883,0.306064574,21.680967,1.892094603,-0.013228266,0.298519812,0.065716037,0.019335347,0.007954885,2.11E-11,0.041079707,0.049998885,0.361750329,0.062585228,0.006504457,0.156493158
151111A,56.85,-44.154,76.93,17,1,72.48,185,0.024124529,0.01109611,1.78024,0.606749,81,3.5,1.886095732,1.230448921,0,1.860218185,2.267171728,-1.617541157,-1.954829247,0.250478555,20.78300907,1.908485019,0.544068044,0.070451411,0.005387618,0.003021148,0.008818206,3.02E-12,0.002454044,0.00333289,0.203958429,0.007916148,0.007227174,0.580762007
151027A,272.498,61.361,129.69,78,6.8,87,708,0.74271162,0.186820095,2.00612,4.47471,96,0.38,2.11290649,1.892094603,0.832508913,1.939519253,2.850033258,-0.129179781,-0.728576411,0.302356908,21.65076489,1.982271233,-0.420216403,0.118957433,0.025066942,0.020543807,0.013295142,1.16E-11,0.075551611,0.056114331,0.350585196,0.058380759,0.010840761,0.057552992
151021A,337.647,-33.189,110.2,280,9.7,90.71,2760,0.181048755,0.06177846,1.96079,21.701,99,2.33,2.042181595,2.447158031,0.986771734,1.957655167,3.440909082,-0.742204457,-1.209162922,0.292431083,22.33647975,1.995635195,0.367355921,0.101038889,0.090234539,0.029305136,0.014439042,4.51E-11,0.018417007,0.018556125,0.321159876,0.283129151,0.011563479,0.384558626
150910A,5.677,33.466,112.2,48,1.1,145.3,223,0.19873107,0.028924454,1.78547,0.6957,154,1.359,2.049992857,1.681241237,0.041392685,2.162265614,2.348304863,-0.701734229,-1.53873483,0.251752557,20.842422,2.187520721,0.133219457,0.102877632,0.015388586,0.003323263,0.031270716,3.64E-12,0.020215723,0.008687911,0.207353409,0.009076676,0.024813298,0.22172659
150818A,230.34,68.342,123.3,41,2.4,84.45,1590,0.04607164,0.026688716,1.9776,0.886699,94,0.282,2.090963077,1.612783857,0.380211242,1.926599654,3.201397124,-1.336566328,-1.57367232,0.296138453,20.94777622,1.973127854,-0.549750892,0.113082651,0.013130303,0.007250755,0.012508903,2.60E-11,0.004686592,0.008016372,0.332071846,0.011568607,0.01035895,0.041118862
150727A,203.968,-18.32,88,37,1,77.18,893,0.026426807,0.015279994,1.79253,1.08E-09,86,0.313,1.944482672,1.568201724,0,1.887504774,2.950851459,-1.577955307,-1.815876816,0.253466433,12.03342376,1.934498451,-0.504455662,0.08062885,0.011839855,0.003021148,0.010267352,1.46E-11,0.002688241,0.004589585,0.211936307,1.41E-11,0.008431703,0.046317413
150403A,311.505,-62.706,40.9,170,17.6,74.7,634,2.27477208,0.80599512,1.70996,6.17159,85,2.06,1.611723308,2.230448921,1.245512668,1.873320602,2.802089258,0.356937889,-0.093667588,0.232985951,21.79039707,1.929418926,0.31386722,0.037326469,0.054747234,0.053172205,0.009502696,1.04E-11,0.231398958,0.242093212,0.158337174,0.080519655,0.008190797,0.339280923
150323A,128.173,45.442,149.6,61,5.4,146.55,3250,0.054075606,0.022349844,2.0639,4.92829,156,0.593,2.174931594,1.785329835,0.73239376,2.165985823,3.511883361,-1.266998605,-1.650725504,0.314688651,21.69269626,2.193124598,-0.226945307,0.137262113,0.01958254,0.016314199,0.031656127,5.31E-11,0.005500788,0.006713124,0.388092255,0.064298537,0.02529511,0.093272069
150314A,126.661,63.839,14.79,220,38.5,85.12,585,0.28227264,0.08629803,1.84772,10.4028,95,1.758,1.169968174,2.342422681,1.58546073,1.930031615,2.767155866,-0.549331215,-1.063999118,0.26663616,22.01715025,1.977723605,0.245018871,0.013321688,0.070877827,0.116314199,0.012715483,9.56E-12,0.028713907,0.02592096,0.247762105,0.135723512,0.010599855,0.288636973
150206A,10.076,-63.181,83.2,139,10.1,474.54,235,0.82151982,0.319388817,1.82177,9.36766,483,2.087,1.920123326,2.1430148,1.004321374,2.676272826,2.371067862,-0.085381954,-0.495680294,0.260493546,21.97163112,2.683947131,0.319522449,0.076215868,0.044746266,0.030513595,0.132784919,3.84E-12,0.083568298,0.095933415,0.230917034,0.122218221,0.104071308,0.343808693
141220A,195.058,32.146,7.21,26,8.9,99.16,37.6,0.027381924,0.00939023,1.80565,3.06016,105,1.3195,0.857935265,1.414973348,0.949390007,1.996336518,1.575187845,-1.562536039,-2.02732377,0.256633572,21.48574413,2.021189299,0.120409395,0.006352855,0.008291125,0.026888218,0.017044421,6.13E-13,0.002785399,0.002820502,0.220452967,0.039925372,0.013008914,0.215102629
141121A,122.665,22.206,549.9,53,0.9,362.43,607,0.131181966,0.083225016,1.93447,3.94373,371,1.47,2.74028372,1.72427587,-0.045757491,2.559224139,2.783188691,-0.882125865,-1.079746113,0.286561999,21.59590717,2.56937391,0.167317335,0.505286384,0.017001645,0.002719033,0.098218167,9.92E-12,0.013344357,0.024997932,0.304074625,0.051453155,0.077089858,0.240340757
141109A,144.563,-0.581,200,68,2.5,129.18,1180,0.30204002,0.11431446,1.95256,13.4825,139,2.993,2.301029996,1.832508913,0.397940009,2.11119528,3.071882007,-0.51993551,-0.941898831,0.290604388,22.12977043,2.1430148,0.476106717,0.183598419,0.021840823,0.00755287,0.026300454,1.93E-11,0.030724725,0.034336132,0.315817489,0.175903819,0.021199711,0.495740542
141026A,44.049,26.925,146,13,0.4,157,1580,0.079325428,0.049305888,1.91933,2.84836,165,3.35,2.164352856,1.113943352,-0.397940009,2.195899652,3.198657087,-1.100587576,-1.307101215,0.283149652,21.45459488,2.217483944,0.525044807,0.133952377,0.004097171,0.001208459,0.034878164,2.58E-11,0.008069301,0.014809793,0.294246711,0.037162055,0.027463262,0.555607727
140907A,48.133,46.596,79.2,43,2.5,83.59,54.6,0.13477992,0.06075402,2.00735,3.02766,107,1.21,1.898725182,1.633468456,0.397940009,1.922154325,1.737192643,-0.870374806,-1.21642498,0.302623102,21.4811071,2.029383778,0.08278537,0.072538384,0.013775527,0.00755287,0.01224374,8.91E-13,0.013710355,0.018248418,0.351383633,0.03950135,0.013490725,0.196740005
140903A,238.021,27.608,0.3,1.4,2.5,59,10,0.124650474,0.049621749,1.63218,1.198516,76,0.351,-0.522878745,0.146128036,0.397940009,1.770852012,1,-0.904306066,-1.304327932,0.212768052,21.07864384,1.880813592,-0.454692884,0,0.000354873,0.00755287,0.004661933,1.62E-13,0.012679947,0.014904667,0.107847401,0.015636829,0.006022645,0.052689831
140703A,13.01,45.102,67.1,39,2.8,112.82,1120,0.27815316,0.019339226,1.82756,7.41044,123,3.14,1.82672252,1.591064607,0.447158031,2.052386095,3.049218023,-0.555716002,-1.713560911,0.261871644,21.869844,2.089905111,0.496929648,0.061413993,0.012485079,0.008459215,0.021256194,1.83E-11,0.028294857,0.005808838,0.23467553,0.096682714,0.017345218,0.520391736
140629A,249.017,41.897,42,24,4.2,94.25,60.8,0.05643627,0.008454501,1.95996,5.52967,101,2.275,1.62324929,1.380211242,0.62324929,1.974281359,1.783903579,-1.248441697,-2.07291202,0.292247208,21.74269921,2.004321374,0.356981401,0.038337777,0.007645901,0.012688822,0.015530526,9.92E-13,0.005740924,0.002539441,0.320621093,0.072144637,0.01204529,0.37533539
140518A,227.231,42.396,60.5,10,1,69,367,0.02263924,0.006953646,1.93772,28.9394,77,4.707,1.781755375,1,0,1.838849091,2.564666064,-1.645138157,-2.157787422,0.287291022,22.46148952,1.886490725,0.672744198,0.055346143,0.003129335,0.003021148,0.007745222,6.00E-12,0.002302954,0.002088636,0.306184316,0.377567289,0.006263551,0.78317011
140512A,289.366,-15.087,154.8,140,6.8,98.38,2970,1.027104,0.27430845,1.84304,2.129332,106,0.725,2.189770956,2.146128036,0.832508913,1.992906818,3.472756449,0.011614421,-0.561760814,0.265534761,21.32824338,2.025305865,-0.139661993,0.142042843,0.045068878,0.020543807,0.016803924,4.85E-11,0.104481146,0.082392824,0.24472415,0.027781022,0.013249819,0.115407835
140506A,276.806,-55.556,111.1,28,10.9,97.9,1010,0.4737096,0.2242464,1.74751,6.57119,108,0.889,2.045714059,1.447158031,1.037426498,1.990782692,3.004321374,-0.324487814,-0.64927452,0.24241967,21.81764402,2.033423755,-0.051098239,0.101866323,0.008936349,0.032930514,0.016655927,1.65E-11,0.048187644,0.067355906,0.182712219,0.085733166,0.013731631,0.142909847
140430A,102.942,23.033,173.6,11,2.5,50.82,399,0.09087309,0.05066721,2.15785,4.76398,183,1.6,2.239549721,1.041392685,0.397940009,1.706034661,2.600972896,-1.041564704,-1.29527301,0.334021252,21.67796993,2.26245109,0.204119983,0.15932702,0.003451947,0.00755287,0.002139802,6.52E-12,0.009243976,0.015218687,0.449078552,0.062154814,0.031799566,0.262141132
140419A,127.001,46.234,94.7,160,4.9,86.49,509,0.4290475,0.1289862,1.87322,10.9886,97,3.956,1.976349979,2.204119983,0.69019608,1.936965897,2.706717782,-0.367494624,-0.889456752,0.272588786,22.04094236,1.986771734,0.597256283,0.086788637,0.051521115,0.014803625,0.013137894,8.32E-12,0.043644436,0.038743018,0.264315064,0.143366342,0.011081667,0.657231017
140318A,184.049,20.225,8.43,2.9,0.5,124.75,36.3,0.018975744,0.009011779,2.30719,1.904905,132,1.02,0.925827575,0.462397998,-0.301029996,2.096040554,1.559906625,-1.721801187,-2.045189467,0.363083361,21.27987332,2.120573931,0.008600172,0.007474487,0.000838791,0.001510574,0.024934557,5.92E-13,0.001930289,0.002706828,0.546020474,0.024852962,0.01951337,0.164877918
140304A,30.653,33.48,15.6,12,1.7,75.18,62.8,0.03578112,0.020826288,2.01927,30.237,138,5.283,1.193124598,1.079181246,0.230448921,1.876102321,1.797959644,-1.44634607,-1.68138813,0.305194393,22.4805387,2.139879086,0.722880611,0.014066379,0.003774559,0.005135952,0.009650694,1.02E-12,0.003639799,0.006255501,0.35912133,0.394496849,0.020958805,0.879762544
140301A,69.521,-34.249,31,4.4,0.7,86.07,338,0.0317709,0.01719468,2.42752,7.36699,95,1.416,1.491361694,0.643452676,-0.15490196,1.934851803,2.5289167,-1.497970482,-1.764605902,0.385162817,21.86729008,1.977723605,0.151063253,0.028224694,0.001322709,0.002114804,0.013008396,5.52E-12,0.003231864,0.00516469,0.62413097,0.09611583,0.010599855,0.231285216
140206A,145.321,66.762,93.6,160,19.4,43.88,962,0.9705656,0.36156924,1.88134,10.1231,52,2.73,1.971275849,2.204119983,1.28780173,1.642266619,2.983175072,-0.012975106,-0.441808524,0.274467289,22.00531353,1.716003344,0.436162647,0.085777328,0.051521115,0.058610272,0,1.57E-11,0.098729833,0.108602964,0.269586046,0.132074315,0.000240906,0.451636705
140114A,188.498,27.942,139.7,32,0.9,577.5,10,0.06852023,0.02715507,2.35235,1.35496,120,3,2.145196406,1.505149978,-0.045757491,2.761551989,1,-1.164181188,-1.566149073,0.37150194,21.13192647,2.079181246,0.477121255,0.128160338,0.010226796,0.002719033,0.164530461,1.62E-13,0.006970153,0.008156449,0.575335441,0.017677926,0.016622501,0.496914408
131227A,67.369,28.879,18,8.4,1.1,57,60.1,0.024683603,0.008876693,1.92381,4.97208,66,5.3,1.255272505,0.924279286,0.041392685,1.755874856,1.778874472,-1.607591447,-2.0517488,0.284162178,21.69653811,1.819543936,0.72427587,0.016272869,0.002613156,0.003323263,0.004045275,9.80E-13,0.002510915,0.002666253,0.297154838,0.064869858,0.003613587,0.882613362
131103A,348.948,-44.645,17.3,8.2,1.5,76.26,131,0.07515963,0.031224648,2.1927,3.58073,87,0.599,1.238046103,0.913813852,0.176091259,1.882296801,2.117271296,-1.124015367,-1.505502449,0.340979217,21.55397157,1.939519253,-0.222573178,0.01562931,0.002548634,0.004531722,0.009983689,2.14E-12,0.00764554,0.00937881,0.47170093,0.046717158,0.008672609,0.09427824
131030A,345.074,-5.38,41.1,290,28.1,78.36,5430,0.475692,0.1693902,2.09466,0.694683,90,1.293,1.613841822,2.462397998,1.44870632,1.894094427,3.73479983,-0.322674152,-0.771111719,0.321113539,20.84178667,1.954242509,0.111598525,0.037510343,0.093460657,0.08489426,0.01063118,8.87E-11,0.048389302,0.05087899,0.408059669,0.009063408,0.009395326,0.210658707
130907A,215.898,45.602,360,1400,25.6,66.59,6330,2.6719719,0.5314296,1.99054,1.79173,74,1.238,2.556302501,3.146128036,1.408239965,1.823409015,3.80140371,0.426831887,-0.27455426,0.298970909,21.25327257,1.86923172,0.092720645,0.330697803,0.451559828,0.07734139,0.007002149,1.03E-10,0.271803719,0.159623173,0.340471662,0.023376388,0.005540834,0.201435471
130831A,358.635,29.431,32.5,65,13.6,125.8,88.7,0.23422308,0.10099206,1.79449,0.0703922,191,0.4791,1.511883361,1.812913357,1.133538908,2.099680641,1.94792362,-0.630370312,-0.995712769,0.253941043,19.84752454,2.281033367,-0.319573829,0.029603751,0.020872988,0.041087613,0.025258303,1.45E-12,0.023826113,0.030334541,0.213208613,0.000918395,0.033726813,0.074171586
130701A,357.224,36.1,4.38,44,17.1,85.47,136,0.09600966,0.034662612,1.9213,0.510222,151,1.155,0.641474111,1.643452676,1.23299611,1.931813704,2.133538908,-1.017685068,-1.460138714,0.283595183,20.70775918,2.178976947,0.062581984,0.003751034,0.014098139,0.051661631,0.012823398,2.22E-12,0.009766488,0.010411456,0.295525508,0.006656777,0.024090581,0.18751677
130612A,259.771,16.729,4,2.3,1.7,86.97,92.2,0.010768527,0.004891128,2.18734,7.85251,94,2.006,0.602059991,0.361727836,0.230448921,1.93936947,1.964730921,-1.967843699,-2.310590972,0.339916295,21.8950085,1.973127854,0.302330929,0.003401673,0.000645224,0.005135952,0.013285892,1.50E-12,0.001095418,0.001469127,0.468221563,0.102450324,0.01035895,0.330225382
130610A,224.414,28.187,46.4,25,1.7,132.97,43.7,0.026318754,0.010466968,2.04497,2.63573,140,2.092,1.666517981,1.397940009,0.230448921,2.123753669,1.640481437,-1.579734675,-1.980179104,0.310686941,21.42090092,2.146128036,0.32056168,0.04238301,0.007968513,0.005135952,0.027469021,7.12E-13,0.002677249,0.003143917,0.375804117,0.034387908,0.021440617,0.344647169
