XRT Spectral Index (Gamma),XRT Column Density,XRT Early Flux,BAT T90,Redshift,,Log(XRT Spectral Index (Gamma)),Log(XRT Column Density),Log(XRT Early Flux),Log(BAT T900,Log(Redshift),,Norm(XRT Spectral Index (Gamma)),Norm(XRT Column Density),Norm(XRT Early Flux),Norm(BAT T90),Norm(Redshift)
1.97351,2.18739,358,216.4,0.818,,0.295239331,21.33992622,2.553883027,2.335257256,-0.087246696,,0.059478713,0.02574804,5.84892E-12,0.198742404,0.131003488
1.99768,5.19173,221,46.2,3.645,,0.300525922,21.7153121,2.344392274,1.664641976,0.561697533,,0.062311591,0.026063381,3.61036E-12,0.042278381,0.605077811
1.81917,2.77299,101,20.66,1.968,,0.259873285,21.4429483,2.004321374,1.315130317,0.294025094,,0.041389083,0.023734393,1.64958E-12,0.018799584,0.323852965
1.92624,7.53995,804,125.7,1.549,,0.284710397,21.87736847,2.905256049,2.099335278,0.190051418,,0.053938368,0.025131316,1.31365E-11,0.11536234,0.253588677
2.00325,1.447928,863,105.1,1.159,,0.301735151,21.16074697,2.936010796,2.021602716,0.064083436,,0.06296443,0.026136052,1.41006E-11,0.096424861,0.18818755
1.99404,1.58757,324,216.3,2.0127,,0.299733866,21.20073288,2.51054501,2.335056519,0.303779047,,0.06188496,0.026015891,5.29337E-12,0.198650475,0.33134894
1.65672,1.33E-11,104,8.2,1.717,,0.219249115,10.12385164,2.017033339,0.913813852,0.234770295,,0.022348909,0.021614936,1.69859E-12,0.007345168,0.28176147
1.93554,0.532793,101,28,4.99,,0.286802151,20.72655851,2.004321374,1.447158031,0.698100546,,0.055028387,0.025252652,1.64958E-12,0.02554721,0.830627851
1.72551,2.62964,267,316.5,2.38,,0.236917481,21.4198963,2.426511261,2.500373714,0.376576957,,0.030411535,0.022512427,4.36199E-12,0.290763842,0.392943386
2.02332,4.79697,1290,325,0.97,,0.306064574,21.680967,3.11058971,2.511883361,-0.013228266,,0.065316762,0.026397902,2.10777E-11,0.298577851,0.156493158
1.78024,0.606749,185,76.93,3.5,,0.250478555,20.78300907,2.267171728,1.886095732,0.544068044,,0.036826239,0.02322648,3.02212E-12,0.070528319,0.580762007
1.81176,41.4649,53.7,80,4.063,,0.258100667,22.61768062,1.729974286,1.903089987,0.608846822,,0.040520584,0.023637716,8.76699E-13,0.073350555,0.675174403
2.00612,4.47471,708,129.69,0.38,,0.302356908,21.65076489,2.850033258,2.11290649,-0.420216403,,0.063300812,0.026173497,1.15679E-11,0.119030328,0.057552992
1.96079,21.701,2760,110.2,2.33,,0.292431083,22.33647975,3.440909082,2.042181595,0.367355921,,0.057987848,0.025582084,4.50973E-11,0.101113266,0.384558626
1.79,0.86,557,164.7,1.968,,0.252853031,20.93449845,2.745855195,2.216693599,0.294025094,,0.037970173,0.023353817,9.10056E-12,0.151214848,0.323852965
1.78547,0.6957,223,112.2,1.359,,0.251752557,20.842422,2.348304863,2.049992857,0.133219457,,0.037439229,0.023294715,3.64304E-12,0.102951857,0.22172659
2.21622,21.9065,349,172.1,0.755,,0.34561287,22.340573,2.542825427,2.23578087,-0.122053048,,0.087925869,0.028914635,5.70186E-12,0.158017632,0.120438691
1.9776,0.886699,1590,123.3,0.282,,0.296138453,20.94777622,3.201397124,2.090963077,-0.549750892,,0.059958087,0.025801401,2.59796E-11,0.113156032,0.041118862
1.79253,1.08E-09,893,88,0.313,,0.253466433,12.03342376,2.950851459,1.944482672,-0.504455662,,0.038266705,0.023386825,1.45908E-11,0.080704915,0.046317413
1.98937,1.044425,287,91,3,,0.298715564,21.01887726,2.457881897,1.959041392,0.477121255,,0.061337606,0.025954962,4.68879E-12,0.083462801,0.496914408
1.70996,6.17159,634,40.9,2.06,,0.232985951,21.79039707,2.802089258,1.611723308,0.31386722,,0.028588976,0.022309549,1.03587E-11,0.037406117,0.339280923
2.0639,4.92829,3250,149.6,0.593,,0.314688651,21.69269626,3.511883361,2.174931594,-0.226945307,,0.070072996,0.026927342,5.31038E-11,0.137333493,0.093272069
1.84772,10.4028,585,14.79,1.758,,0.26663616,22.01715025,2.767155866,1.169968174,0.245018871,,0.044735325,0.02410688,9.55807E-12,0.013403322,0.288636973
1.82177,9.36766,235,83.2,2.087,,0.260493546,21.97163112,2.371067862,1.920123326,0.319522449,,0.041693819,0.023768314,3.83912E-12,0.076292299,0.343808693
1.80565,3.06016,37.6,7.21,1.3195,,0.256633572,21.48574413,1.575187845,0.857935265,0.120409395,,0.039804453,0.023558,6.13627E-13,0.006435066,0.215102629
1.93447,3.94373,607,549.9,1.47,,0.286561999,21.59590717,2.783188691,2.74028372,0.167317335,,0.054902977,0.025238692,9.91755E-12,0.505327315,0.240340757
1.95256,13.4825,1180,200,2.993,,0.290604388,22.12977043,3.071882007,2.301029996,0.476106717,,0.05702324,0.025474709,1.92803E-11,0.183665965,0.495740542
1.91933,2.84836,1580,146,3.35,,0.283149652,21.45459488,3.198657087,2.164352856,0.525044807,,0.053128472,0.025041163,2.58162E-11,0.13402403,0.555607727
2.00735,3.02766,54.6,79.2,1.21,,0.302623102,21.4811071,1.737192643,1.898725182,0.08278537,,0.063444976,0.026189544,8.91405E-13,0.072615119,0.196740005
1.63218,1.198516,10,0.3,0.351,,0.212768052,21.07864384,1,-0.522878745,-0.454692884,,0.019472665,0.021294767,1.62647E-13,8.27366E-05,0.052689831
1.82756,7.41044,1120,67.1,3.14,,0.261871644,21.869844,3.049218023,1.82672252,0.496929648,,0.042372444,0.023843856,1.82999E-11,0.061491648,0.520391736
1.95996,5.52967,60.8,42,2.275,,0.292247208,21.74269921,1.783903579,1.62324929,0.356981401,,0.057890567,0.025571255,9.92712E-13,0.038417342,0.37533539
1.77015,1.11E-09,73.4,720,4.233,,0.248010069,12.04532298,1.86569606,2.857332496,0.626648268,,0.035643627,0.023094837,1.19859E-12,0.661699409,0.703682587
1.93772,28.9394,367,60.5,4.707,,0.287291022,22.46148952,2.564666064,1.781755375,0.672744198,,0.055283897,0.025281094,5.99598E-12,0.055424301,0.78317011
1.84304,2.129332,2970,154.8,0.725,,0.265534761,21.32824338,3.472756449,2.189770956,-0.139661993,,0.044186799,0.02404582,4.85287E-11,0.142113827,0.115407835
1.74751,6.57119,1010,111.1,0.889,,0.24241967,21.81764402,3.004321374,2.045714059,-0.051098239,,0.032990075,0.022799457,1.65025E-11,0.101940632,0.142909847
2.15785,4.76398,399,173.6,1.6,,0.334021252,21.67796993,2.600972896,2.239549721,0.204119983,,0.081084534,0.028153091,6.51886E-12,0.159396575,0.262141132
1.87322,10.9886,509,94.7,3.956,,0.272588786,22.04094236,2.706717782,1.976349979,0.597256283,,0.047724087,0.024439574,8.31624E-12,0.086864193,0.657231017
2.30719,1.904905,36.3,8.43,1.02,,0.363083361,21.27987332,1.559906625,0.925827575,0.008600172,,0.098588132,0.030101504,5.92386E-13,0.007556606,0.164877918
2.01927,30.237,62.8,15.6,5.283,,0.305194393,22.4805387,1.797959644,1.193124598,0.722880611,,0.064842076,0.026345062,1.02539E-12,0.014147951,0.879762544
2.42752,7.36699,338,31,1.416,,0.385162817,21.86729008,2.5289167,1.491361694,0.151063253,,0.112691574,0.031671429,5.52212E-12,0.028305096,0.231285216
1.88134,10.1231,962,93.6,2.73,,0.274467289,22.00531353,2.983175072,1.971275849,0.436162647,,0.048675803,0.024545514,1.57182E-11,0.085852968,0.451636705
2.35235,1.35496,10,139.7,3,,0.37150194,21.13192647,1,2.145196406,0.477121255,,0.103881172,0.030690699,1.62647E-13,0.128232471,0.496914408
1.92381,4.97208,60.1,18,5.3,,0.284162178,21.69653811,1.778874472,1.255272505,0.72427587,,0.053653557,0.025099613,9.81275E-13,0.01635426,0.882613362
2.1927,3.58073,131,17.3,0.599,,0.340979217,21.55397157,2.117271296,1.238046103,-0.222573178,,0.085169176,0.028607773,2.13977E-12,0.015710753,0.09427824
2.09466,0.694683,5430,41.1,1.293,,0.321113539,20.84178667,3.73479983,1.613841822,0.111598525,,0.073678264,0.027328663,8.87247E-11,0.037589976,0.210658707
1.99054,1.79173,6330,360,1.238,,0.298970909,21.25327257,3.80140371,2.556302501,0.092720645,,0.061474737,0.025970227,1.03431E-10,0.330753178,0.201435471
1.79449,0.0703922,88.7,32.5,0.4791,,0.253941043,19.84752454,1.94792362,1.511883361,-0.319573829,,0.03849643,0.023412397,1.44859E-12,0.029684038,0.074171586
1.9213,0.510222,136,4.38,1.155,,0.283595183,20.70775918,2.133538908,0.641474111,0.062581984,,0.053359369,0.025066865,2.22147E-12,0.003833461,0.18751677
2.18734,7.85251,92.2,4,2.006,,0.339916295,21.8950085,1.964730921,0.602059991,0.302330929,,0.08454095,0.028537842,1.50578E-12,0.003484128,0.330225382
