XRT Spectral Index (Gamma),XRT Column Density,XRT Early Flux,BAT T90,Redshift,,Log(XRT Spectral Index (Gamma)),Log(XRT Column Density),Log(XRT Early Flux),Log(BAT T900,Log(Redshift),,Norm(XRT Spectral Index (Gamma)),Norm(XRT Column Density),Norm(XRT Early Flux),Norm(BAT T90),Norm(Redshift)
2.51,0.8,110,260,3.038,,0.399673721,20.90308999,2.041392685,2.414973348,0.48258777,,0.122358755,0.032747531,1.79663E-12,0.23882367,0.503286826
1.98207,1.37301,150,185.5,1.9685,,0.297118988,21.1376737,2.176091259,2.268343914,0.294135419,,0.060481999,0.025859721,2.45023E-12,0.170336186,0.323936812
2.102,4.96658,153,10,0.5295,,0.322632712,21.69605744,2.184691431,1,-0.276134036,,0.074538559,0.027424426,2.49925E-12,0.008999899,0.082623424
2.13864,3.23856,577,280,1.692,,0.330137685,21.51035195,2.761175813,2.447158031,0.228400359,,0.078833,0.027902462,9.42735E-12,0.257209572,0.27756909
2.00001,1.968944,717,147,2,,0.301032167,21.29423336,2.855519156,2.167317335,0.301029996,,0.062584682,0.026093781,1.17149E-11,0.134943325,0.329219211
1.86248,21.6437,211,128,2.374,,0.270091618,22.33533151,2.324282455,2.10720997,0.375480715,,0.046465291,0.024299451,3.44696E-12,0.117476719,0.391937215
2.11482,2.82355,426,106,3.35,,0.325273409,21.45079548,2.629409599,2.025305865,0.525044807,,0.076041144,0.027591687,6.96003E-12,0.097252227,0.555607727
2.04224,11.4638,209,78,1.505,,0.310106778,22.0593286,2.320146286,1.892094603,0.1775365,,0.067534306,0.026644748,3.41428E-12,0.071511965,0.246210089
1.81617,1.36745,55,34,2.2045,,0.259156498,21.13591146,1.740362689,1.531478917,0.343310103,,0.041037464,0.023695252,8.97941E-13,0.031062981,0.363512879
1.9433,6.27022,50,16.2,2.602,,0.288539851,21.79728278,1.698970004,1.209515015,0.415307292,,0.055937909,0.025353895,8.16242E-13,0.014699528,0.43017172
2.07126,3.61762,35.9,27.1,1.23,,0.316234618,21.55842295,1.555094449,1.432969291,0.089905111,,0.070935635,0.027023367,5.8585E-13,0.024719845,0.200093909
2.03418,24.2029,4960,79,3.036,,0.30838938,22.38386741,3.695481676,1.897627091,0.482301767,,0.066589623,0.026539591,8.1045E-11,0.07243126,0.502951435
1.7467,5.47122,175,20,1.6398,,0.24221832,21.73808418,2.243038049,1.301029996,0.214790882,,0.032895138,0.022788889,2.85873E-12,0.01819285,0.268815401
1.65441,0.297198,89.3,82,1.416,,0.218643146,20.47304588,1.950851459,1.913813852,0.151063253,,0.022078163,0.021584798,1.4584E-12,0.075189145,0.231285216
1.83449,2.07069,1210,60,2.69,,0.263515349,21.31611509,3.08278537,1.77815125,0.42975228,,0.043184684,0.02393427,1.97705E-11,0.054964653,0.444928897
2.03541,3.29518,126,16.2,0.75,,0.308651904,21.51787914,2.100370545,1.209515015,-0.124938737,,0.066733787,0.026555638,2.05807E-12,0.014699528,0.119600215
2.14652,5.81033,366,46,2.433,,0.331734939,21.7642008,2.563481085,1.662757832,0.386142109,,0.079756586,0.028005271,5.97964E-12,0.042094522,0.401831232
1.97674,3.74016,44000,56,1.03,,0.29594955,21.57289018,4.643452676,1.748188027,0.012837225,,0.05985729,0.025790181,7.18953E-10,0.051287473,0.16655487
2.25433,4.90803,203,61,1.51,,0.353017491,21.69090721,2.307496038,1.785329835,0.178976947,,0.092392604,0.029411849,3.31624E-12,0.055883948,0.247048565
1.61029,5.62826,10,34,1.95,,0.206904096,21.75037415,1,1.531478917,0.290034611,,0.016907018,0.021009172,1.62647E-13,0.031062981,0.320834451
1.81426,0.753587,15600,50,0.937,,0.258699526,20.8771334,4.193124598,1.698970004,-0.028260409,,0.0408136,0.023670333,2.54901E-10,0.045771702,0.150959217
2.09352,3.64E-11,150,365,2.4266,,0.320877114,10.56110138,2.176091259,2.562292864,0.384998193,,0.073544649,0.027313789,2.45023E-12,0.335349654,0.400757982
2.46364,7.58457,817,340,2.0858,,0.391577247,21.87993096,2.912222057,2.531478917,0.319272663,,0.116925068,0.03214268,1.33489E-11,0.312367277,0.343607459
1.89838,0.452512,95.9,1.8,0.383,,0.27838315,20.6556301,1.981818607,0.255272505,-0.416801226,,0.050672999,0.024767832,1.56624E-12,0.001461679,0.058056077
1.68343,1.90E-05,69.4,68.7,1.14,,0.226195062,16.2787536,1.84135947,1.836956737,0.056904851,,0.025479491,0.021963417,1.13324E-12,0.06296252,0.185001342
1.67267,0.366707,125,15,0.823,,0.223410268,20.5643192,2.096910013,1.176091259,-0.084600165,,0.024218351,0.021823033,2.04173E-12,0.013596374,0.131841964
1.78089,8.93E-05,522,180,2.692,,0.250637095,16.95085146,2.717670503,2.255272505,0.430075056,,0.036902423,0.02323496,8.52866E-12,0.165280063,0.445264288
2.12626,1.66176,323,225,2.452,,0.327616369,21.2205683,2.509202522,2.352182518,0.389520466,,0.077381985,0.027740942,5.27703E-12,0.206648342,0.40501744
1.59788,0.991799,179,4.2,2.145,,0.203544161,20.99642367,2.252853031,0.62324929,0.331427297,,0.015452487,0.020847261,2.92408E-12,0.003667987,0.353535015
2.04061,1.99743,10,35.7,0.947,,0.309760011,21.30047157,1,1.552668216,-0.023650021,,0.06734326,0.026623482,1.62647E-13,0.032625783,0.152636169
2.17076,8.53108,10,11,2.17,,0.33661181,21.93100401,1,1.041392685,0.336459734,,0.082597668,0.028321526,1.62647E-13,0.009919194,0.357727395
1.64009,1.2966,64.4,0.4,0.457,,0.214867681,21.11280602,1.808885867,-0.397940009,-0.3400838,,0.020399767,0.021397967,1.05154E-12,0.000174666,0.070465522
2.07429,4.3976,243,64,0.92,,0.316869474,21.64321572,2.385606274,1.806179974,-0.036212173,,0.07129077,0.027062899,3.96984E-12,0.058641833,0.148108398
1.79969,3.58E-06,5610,12.2,2.04,,0.255197704,15.55388303,3.748962861,1.086359831,0.309630167,,0.039105903,0.023480241,9.16659E-11,0.011022348,0.335927019
1.97999,36.5193,4,109.2,2.4996,,0.296662997,22.56252244,0.602059991,2.038222638,0.397870516,,0.06023821,0.025832583,6.46078E-14,0.100193971,0.412999732
1.82568,7.81747,159,20.9,0.82,,0.261424658,21.89306622,2.201397124,1.320146286,-0.086186148,,0.042152096,0.023819328,2.59729E-12,0.019020215,0.131338878
2.03312,6.57188,25.3,4.3,2.31,,0.308163013,21.81768962,1.403120521,0.633468456,0.36361198,,0.066465384,0.026525761,4.12647E-13,0.003759917,0.381204722
3.00655,6.34239,0.699,0.47,0.904,,0.478068431,21.80225294,-0.155522824,-0.327902142,-0.04383157,,0.180557574,0.039225932,1.06699E-14,0.000239017,0.145425275
2.18444,4.44549,375,115.6,0.97,,0.33934012,21.64791964,2.574031268,2.062957834,-0.013228266,,0.084201051,0.028500007,6.1267E-12,0.10607746,0.156493158
2.2428,20.9602,510,121.5,2.954,,0.350790547,22.32139542,2.707570176,2.084576278,0.470410491,,0.091041214,0.029261419,8.33258E-12,0.111501301,0.489200429
1.97117,7.54446,261,74.6,0.836,,0.294724081,21.87762816,2.416640507,1.872738827,-0.077793723,,0.05920445,0.02571751,4.26395E-12,0.068386361,0.134022002
1.94468,27.6984,1280,209.5,1.497,,0.288848148,22.44245468,3.10720997,2.321184027,0.1752218,,0.056099654,0.0253719,2.09143E-11,0.192399268,0.244868527
2.20341,7.32362,1.04,47.7,1.165,,0.343095316,21.8647258,0.017033339,1.678518379,0.066325925,,0.086424456,0.028747505,1.62418E-14,0.043657324,0.189193721
2.27617,1.635154,330,460.6,2.3384,,0.357204695,21.21355866,2.51851394,2.663323934,0.368918802,,0.094952391,0.029696792,5.39141E-12,0.423234264,0.385967266
2.08596,2.50592,213,88.4,2.352,,0.319305976,21.3989672,2.328379603,1.946452265,0.371437317,,0.072658568,0.027215155,3.47964E-12,0.081072634,0.388247921
1.91478,42.8659,130,40,3.355,,0.282118883,22.63211195,2.113943352,1.602059991,0.525692525,,0.052595183,0.0249818,2.12343E-12,0.036578751,0.556446203
1.92748,36.8645,1510,71.4,2.088,,0.28498988,22.56660835,3.178976947,1.853698212,0.319730494,,0.054083704,0.025147494,2.46725E-11,0.065444617,0.343976389
9.998,0.451,0.046,0.21,0.827,,0.999913132,20.65417654,-1.337242168,-0.677780705,-0.08249449,,1,0.130442157,0,0,0.132512745
1.65934,1.467448,10,0.76,0.111,,0.219935382,21.16656272,1,-0.119186408,-0.954677021,,0.02265599,0.021649119,1.62647E-13,0.000505612,0.012442984
1.90181,5.66912,1840,81.3,1.314,,0.279167127,21.75351565,3.264817823,1.910090546,0.118595365,,0.051075017,0.024812582,3.00646E-11,0.074545638,0.214180306
2.21817,28.9432,0.099,134,3.44,,0.345994827,22.46154655,-1.004364805,2.127104798,0.536558443,,0.088154422,0.028940076,8.66013E-16,0.122992489,0.570700295
1.82722,3.75E-05,522,40.7,0.758,,0.26179084,16.57403127,2.717670503,1.609594409,-0.120330794,,0.042332594,0.02383942,8.52866E-12,0.037222258,0.120941776
1.99282,0.743722,268,46.2,0.3463,,0.299468073,20.87141063,2.428134794,1.664641976,-0.460547508,,0.061741968,0.025999974,4.37833E-12,0.042278381,0.051901664
1.99824,5.51902,3360,75.3,1.261,,0.300647648,21.74186197,3.526339277,1.876794976,0.100715087,,0.062377226,0.026070688,5.49012E-11,0.069029868,0.20529246
2.00443,31.626,10,8,3.208,,0.301990894,22.50004427,1,0.903089987,0.50623436,,0.063102734,0.026151448,1.62647E-13,0.007161309,0.531795009
1.8948,2.33014,10,5,0.937,,0.277563376,21.36738202,1,0.698970004,-0.028260409,,0.0502534,0.024721124,1.62647E-13,0.004403423,0.150959217
2.13395,6.44944,49.8,19.3,1.8836,,0.329184239,21.80952201,1.697229343,1.285557309,0.274988682,,0.078283302,0.027841272,8.12974E-13,0.017549343,0.30969949
2.18877,3.90147,42.9,171.5,0.703,,0.340200127,21.59122827,1.632457292,2.234264124,-0.153044675,,0.084708555,0.028556499,7.00229E-13,0.157466055,0.11171854
2.11591,10.1577,5670,145.3,0.84,,0.325497191,22.00679538,3.753583059,2.162265614,-0.075720714,,0.076168899,0.027605908,9.26463E-11,0.133380524,0.134692782
2.02393,0.913472,7700,115.3,0.54,,0.306195488,20.96069524,3.886490725,2.061829307,-0.26760624,,0.065388258,0.026405861,1.25816E-10,0.105801671,0.084384223
2.57067,3.34098,300,66.9,1.532,,0.410046329,21.52387388,2.477121255,1.825426118,0.185258765,,0.129469665,0.033539082,4.90121E-12,0.061307789,0.250737859
2.04425,10.2942,1000,115,2.71,,0.310534006,22.0125926,3,2.06069784,0.432969291,,0.067769891,0.026670972,1.63391E-11,0.105525883,0.448282801
2.20484,0.617545,344,10.2,2.3,,0.343377079,20.79066861,2.536558443,1.008600172,0.361727836,,0.086592061,0.028766162,5.62016E-12,0.009183758,0.37952777
2.09345,1.61614,10,66.2,3.43,,0.320862593,21.20847898,1,1.820857989,0.53529412,,0.073536444,0.027312876,1.62647E-13,0.060664283,0.569023343
1.89544,0.325209,6000,108.7,0.13,,0.277710041,20.51216256,3.77815125,2.036229544,-0.886056648,,0.050328412,0.024729474,9.80385E-11,0.099734324,0.015629192
1.61002,6.25383,327,102.2,3.082,,0.206831271,21.79614607,2.514547753,2.009450896,0.488832634,,0.016875372,0.021005649,5.34239E-12,0.093758906,0.510665415
2.02128,5.93387,0.999,79.1,3.8,,0.305626479,21.77333803,-0.000434512,1.898176483,0.579783597,,0.065077661,0.026371287,1.55719E-14,0.072523189,0.631070566
2.1711,9.77306,293,95,2.1357,,0.336679827,21.99003057,2.46686762,1.977723605,0.329540248,,0.082637518,0.028325962,4.78683E-12,0.087139981,0.351975449
1.90677,1.29E-05,35.8,298.2,3.21,,0.28029831,16.11058971,1.553883027,2.474507639,0.506505032,,0.05165636,0.024877295,5.84216E-13,0.273940742,0.5321304
2.1794,35.5534,10,71.1,5.11,,0.338336947,22.55088114,1,1.851869601,0.7084209,,0.083610331,0.028434251,1.62647E-13,0.065168829,0.850751274
2.70163,0.000023234,26,8.5,0.4428,,0.43162587,16.36612399,1.414973348,0.929418926,-0.353792388,,0.14481901,0.035247694,4.24085E-13,0.007620956,0.06808425
2.1317,10.0498,715,275.2,4.9,,0.328726085,22.00215742,2.854306042,2.43964843,0.69019608,,0.078019588,0.027811917,1.16823E-11,0.252796955,0.815535283
2.02719,2.86367,130,28.4,1.51,,0.306894455,21.45692297,2.113943352,1.45331834,0.178976947,,0.065770351,0.026448393,2.12343E-12,0.025914928,0.247048565
1.94118,4.50436,1600,103.1,1.49,,0.288065808,21.65363309,3.204119983,2.013258665,0.173186268,,0.055689431,0.025326236,2.6143E-11,0.094586271,0.243694661
2.08163,24.4198,461,255,3.91,,0.318403538,22.3877421,2.663700925,2.40654018,0.592176757,,0.072151065,0.027158662,7.53193E-12,0.234227195,0.649517038
2.10553,2.71364,406,139.6,3.53,,0.323361434,21.43355223,2.608526034,2.144885418,0.547774705,,0.074952297,0.027470482,6.63324E-12,0.128140542,0.585792863
2.06584,9.34485,6.12E+13,37.2,2.346,,0.315096682,21.97057233,13.78675142,1.57054294,0.370328008,,0.070300376,0.026952653,1,0.034004725,0.387241749
