GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
70611,2.004,-29.756,1.79969,3.58E+15,3.91,12.2,2.04,-0.401663169,-0.636298285,-0.299837023,-0.49932055,0.019597596,0.255197704,15.55388303,0.592176757,1.086359831,0.309630167
70529,283.717,20.648,1.97999,3.65193E+22,25.7,109.2,2.4996,-0.068265385,3.309117661,-0.193138427,0.076098598,0.352063493,0.296662997,22.56252244,1.409933123,2.038222638,0.397870516
70521,242.659,30.26,2.00022,1.88473E+22,80.1,37.9,0.553,-0.030857525,1.399897127,0.073240813,-0.346864137,-1.056069915,0.301077765,22.27524914,1.903632516,1.57863921,-0.257274869
70508,312.832,-78.382,1.82568,7.81747E+21,196,20.9,0.82,-0.353604331,0.208273207,0.640765701,-0.447710792,-0.862927194,0.261424658,21.89306622,2.292256071,1.320146286,-0.086186148
70506,347.203,10.711,2.03312,6.57188E+21,2.1,4.3,2.31,0.029978787,0.073704058,-0.308700009,-0.546184584,0.21491046,0.308163013,21.81768962,0.322219295,0.633468456,0.36361198
070429B,328.006,-38.857,3.00655,6.34239E+21,0.63,0.47,0.904,1.829975486,0.048910768,-0.315898125,-0.568904742,-0.802163192,0.478068431,21.80225294,-0.200659451,-0.327902142,-0.04383157
070419A,182.755,39.903,2.18444,4.44549E+21,5.58,115.6,0.97,0.309788841,-0.156023616,-0.291659572,0.114064398,-0.754420048,0.33934012,21.64791964,0.746634199,2.062957834,-0.013228266
70411,107.342,1.061,2.2428,2.09602E+22,27,121.5,2.954,0.417703953,1.628167389,-0.186772747,0.149064119,0.680767808,0.350790547,22.32139542,1.431363764,2.084576278,0.470410491
70318,48.486,-42.95,1.97117,7.54446E+21,24.8,74.6,0.836,-0.084574694,0.17877817,-0.197545437,-0.129154005,-0.851353099,0.294724081,21.87762816,1.394451681,1.872738827,-0.077793723
70306,148.154,10.44,1.94468,2.76984E+22,53.8,209.5,1.497,-0.133558096,2.356138745,-0.055541798,0.671093862,-0.373198274,0.288848148,22.44245468,1.730782276,2.321184027,0.1752218
70208,197.891,61.942,2.20341,7.32362E+21,4.45,47.7,1.165,0.3448668,0.154919395,-0.297192818,-0.288729006,-0.613360758,0.343095316,21.8647258,0.648360011,1.678518379,0.066325925
70129,36.995,11.728,2.27617,1.63515E+21,29.8,460.6,2.3384,0.479409355,-0.459642402,-0.173062051,2.160658277,0.235454479,0.357204695,21.21355866,1.474216264,2.663323934,0.368918802
70110,0.934,-52.978,2.08596,2.50592E+21,16.2,88.4,2.352,0.127686713,-0.365567916,-0.239656861,-0.04729025,0.245292461,0.319305976,21.3989672,1.209515015,1.946452265,0.371437317
70103,352.581,26.823,2.31333,3.32147E+21,3.38,18.6,2.6208,0.548122953,-0.277458771,-0.302432262,-0.461354751,0.439737267,0.36423759,21.52133033,0.5289167,1.269512944,0.41843388
061222B,105.353,-25.866,1.91478,4.28659E+22,22.4,40,3.355,-0.188847024,3.994781934,-0.209297462,-0.334406609,0.97084358,0.282118883,22.63211195,1.350248018,1.602059991,0.525692525
061222A,358.254,46.524,1.92748,3.68645E+22,79.9,71.4,2.088,-0.165363098,3.346411851,0.072261477,-0.148136905,0.054319883,0.28498988,22.56660835,1.902546779,1.853698212,0.319730494
61217,160.403,-21.152,9.998,4.51E+20,0.42,0.21,0.827,14.75806166,-0.587574223,-0.316926427,-0.570447103,-0.857863528,0.999913132,20.65417654,-0.37675071,-0.677780705,-0.08249449
61210,144.521,15.613,2.85715,7.35053E+21,11.1,85.3,0.41,1.553715759,0.157826657,-0.264629914,-0.065679934,-1.159513394,0.455933041,21.86631865,1.045322979,1.930949031,-0.387216143
61201,332.079,-74.568,1.65934,1.46745E+21,3.34,0.76,0.111,-0.661188288,-0.477760767,-0.302628129,-0.567184417,-1.375804306,0.219935382,21.16656272,0.523746467,-0.119186408,-0.954677021
61121,147.228,-13.188,1.90181,5.66912E+21,137,81.3,1.314,-0.212830214,-0.023826947,0.351861746,-0.089408559,-0.505576992,0.279167127,21.75351565,2.136720567,1.910090546,0.118595365
061110B,323.912,6.872,2.21817,2.89432E+22,13.3,134,3.44,0.37215993,2.490622545,-0.253857224,0.223216071,1.032330963,0.345994827,22.46154655,1.123851641,2.127104798,0.536558443
061110A,336.284,-2.252,1.82722,3.75E+16,10.6,40.7,0.758,-0.350756674,-0.63629462,-0.267078253,-0.3302541,-0.907776815,0.26179084,16.57403127,1.025305865,1.609594409,-0.120330794
61021,145.146,-21.953,1.99282,7.43722E+20,29.6,46.2,0.3466,-0.044541072,-0.555949571,-0.174041386,-0.297627241,-1.205375748,0.299468073,20.87141063,1.471291711,1.664641976,-0.460171442
61007,46.299,-50.496,1.99824,5.51902E+21,444,75.3,1.261,-0.034518798,-0.040043222,1.855141647,-0.125001496,-0.543916184,0.300647648,21.74186197,2.64738297,1.876794976,0.100715087
60927,329.547,5.37,1.94856,1.27969E+22,11.3,22.5,5.6,-0.126383479,0.746233257,-0.263650579,-0.438219342,2.594833871,0.289713783,22.10710478,1.053078443,1.352182518,0.748188027
60926,263.926,13.039,2.00443,3.1626E+22,2.19,8,3.208,-0.023072696,2.780462792,-0.308259308,-0.524235606,0.864506576,0.301990894,22.50004427,0.340444115,0.903089987,0.50623436
060912A,5.285,20.971,1.8948,2.33014E+21,13.5,5,0.937,-0.225792602,-0.384558567,-0.252877889,-0.542032075,-0.77829162,0.277563376,21.36738202,1.130333768,0.698970004,-0.028260409
60908,31.828,0.335,2.13395,6.44944E+21,28,19.3,1.8836,0.216426367,0.060476072,-0.18187607,-0.457202242,-0.093539188,0.329184239,21.80952201,1.447158031,1.285557309,0.274988682
60906,40.709,30.362,2.07859,2.62785E+22,22.1,43.5,3.685,0.114058639,2.202737758,-0.210766465,-0.313644062,1.209559302,0.317768834,22.41960057,1.344392274,1.638489257,0.566437492
