GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
210822A,304.461,5.265,1.70788,3.41368E+21,200,180.8,1.736,-0.571431613,-0.267496728,0.660352409,0.50084098,-0.20031022,0.232457353,21.53322281,2.301029996,2.257198426,0.239549721
210731A,300.311,-28.056,2.06317,8.32807E+20,22,22.51,1.2525,0.085545085,-0.546325142,-0.211256133,-0.43816002,-0.550064922,0.314535014,20.92054437,1.342422681,1.352375495,0.097777735
210722A,27.031,-6.347,1.83712,3.47208E+20,25,50.2,1.145,-0.332450307,-0.598787544,-0.196566101,-0.273898616,-0.627828377,0.264137525,20.54058972,1.397940009,1.700703717,0.058805487
210702A,168.57,-36.741,1.96307,2.26212E+21,98,138.2,1.1757,-0.099552631,-0.391907208,0.160891335,0.248131127,-0.605620581,0.292935786,21.35451564,1.991226076,2.140508043,0.070296518
210619B,319.718,33.85,1.92306,6.82815E+21,950,60.9,1.937,-0.173536244,0.101390565,4.332860312,-0.210424545,-0.054910644,0.283992835,21.83430305,2.977723605,1.784617293,0.287129621
210610B,243.929,14.398,1.91684,1.09095E+21,360,69.38,1.13,-0.18503782,-0.518436283,1.443820762,-0.160119861,-0.638679092,0.282585864,21.03780485,2.556302501,1.841234296,0.053078443
210610A,204.284,14.476,1.83562,2.25621E+21,10,13.62,3.54,-0.335223999,-0.392545703,-0.270016259,-0.490896889,1.10466906,0.263782781,21.35337952,1,1.134177108,0.549003262
210517A,358.19,-39.104,1.71079,1.43775E+21,1.5,3.06,2.468,-0.566050651,-0.480969234,-0.311638015,-0.553540458,0.329204654,0.233196703,21.15768338,0.176091259,0.485721426,0.392345155
210504A,222.379,-30.557,2.11488,4.27E+16,27,135.06,2.077,0.181163495,-0.636294059,-0.186772747,0.229504157,0.046362692,0.32528573,16.63042788,1.431363764,2.130526745,0.317436497
210420B,254.313,42.558,1.61234,6.23E+13,15,158.8,1.4,-0.748097305,-0.636298665,-0.245532873,0.370333544,-0.443366228,0.207456628,13.79448805,1.176091259,2.200850498,0.146128036
210411C,296.601,-39.399,1.88408,1.14806E+21,12,12.8,2.826,-0.245615254,-0.51226632,-0.260222905,-0.495761257,0.588175043,0.275099339,21.05996459,1.079181246,1.10720997,0.451172158
210321A,87.887,70.109,1.99572,4.78789E+21,6.7,8.21,1.487,-0.039178601,-0.119031928,-0.286175294,-0.522989854,-0.380432083,0.30009961,21.68014416,0.826074803,0.914343157,0.172310969
210222B,154.631,-14.946,1.98,1.4E+21,3.4,12.82,2.198,-0.068246894,-0.485047611,-0.302334329,-0.495642614,0.13389179,0.29666519,21.14612804,0.531478917,1.107888025,0.342027688
210210A,262.764,14.657,1.85188,1.32799E+21,9.8,6.6,0.715,-0.305157177,-0.492827101,-0.270995595,-0.532540625,-0.938882197,0.267612841,21.12319546,0.991226076,0.819543936,-0.145693958
201221D,171.055,42.152,1.28331,34600000000,3.9,0.16,1.046,-1.356515901,-0.636298672,-0.29988599,-0.570743711,-0.699443094,0.108331578,10.5390761,0.591064607,-0.795880017,0.019531685
201221A,214.488,-45.406,1.45068,7.29997E+22,18,44.5,5.7,-1.047027343,7.250331375,-0.230842842,-0.307711906,2.667171968,0.161571624,22.86332108,1.255272505,1.648360011,0.755874856
201216C,16.364,16.538,2.03,5.6E+21,450,48,1.1,0.024209508,-0.031294428,1.88452171,-0.286949359,-0.660380521,0.307496038,21.74818803,2.653212514,1.681241237,0.041392685
201104B,5.215,7.834,1.55046,5.37756E+21,18,8.66,1.954,-0.862521348,-0.055326061,-0.230842842,-0.520320383,-0.042613168,0.190460566,21.73058526,1.255272505,0.937517892,0.290924559
201024A,125.959,3.357,2.07522,1.69866E+21,8.1,5,0.999,0.107827078,-0.452781114,-0.279319946,-0.542032075,-0.733442,0.317064144,21.23010723,0.908485019,0.698970004,-0.000434512
201021C,12.503,-55.862,1.6168,5.64931E+20,10,24.38,1.07,-0.739850194,-0.57526552,-0.270016259,-0.427066888,-0.68208195,0.208656301,20.75199541,1,1.387033701,0.029383778
201020A,261.239,31.428,2.0761,8.56219E+20,9.2,14.17,2.903,0.10945431,-0.543795792,-0.273933601,-0.487634203,0.643875379,0.317248268,20.93258486,0.963787827,1.15136985,0.462847036
201015A,354.31,53.446,2.1574,2.26653E+21,2,9.78,0.426,0.259788419,-0.391430767,-0.309189677,-0.513676368,-1.147939299,0.333930674,21.35536147,0.301029996,0.990338855,-0.370590401
201014A,20.834,27.722,1.97336,1.42058E+22,3.1,36.2,4.56,-0.080525104,0.898445842,-0.303803332,-0.356948802,1.842517656,0.295206321,22.1524657,0.491361694,1.558708571,0.658964843
200829A,251.136,72.363,1.88219,1.22933E+21,510,13.04,1.25,-0.249110106,-0.503486196,2.178322342,-0.494337539,-0.551873375,0.274663462,21.08966848,2.707570176,1.115277591,0.096910013
200522A,5.668,-0.264,1.38048,4.45814E+20,1.1,0.62,0.4,-1.176836131,-0.5881345,-0.313596686,-0.568014919,-1.166747204,0.140030119,20.6491537,0.041392685,-0.207608311,-0.397940009
200205B,107.76,-56.488,1.90881,5.74E+16,54,458,1.465,-0.199886318,-0.63629247,-0.054562462,2.145234671,-0.396346465,0.280762702,16.75891189,1.73239376,2.660865478,0.165837625
191221B,154.831,-38.152,1.843,2.13E+16,190,48,1.19,-0.321577434,-0.636296371,0.611385637,-0.286949359,-0.595276233,0.265525335,16.3283796,2.278753601,1.681241237,0.075546961
191019A,340.035,-17.34,2.01697,9.57793E+20,100,64.35,0.248,0.00011537,-0.532822095,0.170684689,-0.189958606,-1.276701113,0.304699439,20.98127166,2,1.808548551,-0.605548319
191011A,44.729,-27.853,1.81479,4.47028E+21,3.3,7.37,1.722,-0.373741336,-0.153345392,-0.302823996,-0.527972865,-0.210437554,0.258826378,21.65033473,0.51851394,0.867467488,0.236033147
191004B,49.2,-39.637,1.54076,2.00376E+20,25,37.7,3.503,-0.88045789,-0.614650756,-0.196566101,-0.348050568,1.077903964,0.187734995,20.3018457,1.397940009,1.57634135,0.544440137
190829A,44.542,-8.958,2.0913,1.1197E+22,64,58.2,0.0785,0.137561056,0.57338106,-0.00559569,-0.226441367,-1.399314188,0.320416337,22.04910001,1.806179974,1.764922985,-1.105130343
190719C,240.208,13.005,1.5415,8.99137E+20,51,185.7,2.469,-0.879089535,-0.539159082,-0.069252494,0.529908545,0.329928035,0.187943529,20.95382587,1.707570176,2.268811904,0.39252109
190627A,244.843,-5.302,1.95997,1.8075E+21,0.99,1.6,1.942,-0.105284928,-0.441022708,-0.314135321,-0.562201406,-0.051293739,0.292249424,21.2570784,-0.004364805,0.204119983,0.288249226
190324A,49.603,-47.212,1.9869,8.28969E+20,72,28.4,1.1715,-0.05548791,-0.546739786,0.033577727,-0.40321962,-0.608658781,0.29817601,20.91853829,1.857332496,1.45331834,0.068742293
190114C,54.503,-26.938,1.80689,7.6647E+22,830,361.5,0.42,-0.388349447,7.644372799,3.745259047,1.5727816,-1.152279585,0.256931714,22.88449516,2.919078092,2.558108302,-0.37675071
190114A,65.543,2.196,1.83214,4.41327E+21,8,66.6,3.3765,-0.341658964,-0.159504551,-0.279809614,-0.176611255,0.986396271,0.262958657,21.6447605,0.903089987,1.823474229,0.528466754
190106A,29.877,23.839,1.94587,5.53E+14,60,76.8,1.86,-0.131357633,-0.636298612,-0.025182399,-0.116103262,-0.110610979,0.289113822,14.74272513,1.77815125,1.88536122,0.269512944
181213A,248.21,78.5,2.0605,7.23988E+20,15,15.31,2.4,0.080607913,-0.558081562,-0.245532873,-0.480871545,0.280014748,0.313972619,20.85973137,1.176091259,1.184975191,0.380211242
181110A,302.33,-36.878,1.76057,7.66177E+20,99,138.4,1.505,-0.474001057,-0.553523604,0.165788012,0.249317558,-0.367411226,0.245653297,20.88432915,1.995635195,2.14113609,0.1775365
181020A,13.987,-47.372,1.93674,4.53975E+20,81,238,2.938,-0.148240172,-0.587252814,0.077647822,0.840160313,0.669193713,0.287071322,20.65703194,1.908485019,2.376576957,0.468051791
181010A,52.574,-23.023,1.76613,1.89833E+22,6.9,16.4,1.39,-0.463719906,1.414590088,-0.285195959,-0.474405494,-0.450600038,0.247022668,22.27837171,0.838849091,1.214843848,0.1430148
180728A,253.574,-54.037,1.70111,3.86666E+21,296,8.68,0.117,-0.58395021,-0.218558799,1.130433421,-0.52020174,-1.37146402,0.230732398,21.58733554,2.471291711,0.938519725,-0.931814138
180624A,318.096,-2.356,2.06008,1.26899E+21,58,486.4,2.855,0.079831279,-0.499201469,-0.034975753,2.313707906,0.609153092,0.313884086,21.1034582,1.763427994,2.686993566,0.455606113
180620B,357.514,-57.954,1.99236,1.64601E+21,100,198.8,1.1175,-0.045391671,-0.45846945,0.170684689,0.607619791,-0.647721354,0.299367814,21.21643273,2,2.29841638,0.048247532
180510B,77.965,-62.32,1.82841,1.29691E+21,21,134.3,1.305,-0.348556212,-0.496185415,-0.21615281,0.224995718,-0.512087421,0.262073588,21.11290883,1.322219295,2.128076013,0.115610512
180404A,83.54,-37.168,1.62007,3.07115E+20,13,35.2,1,-0.733803546,-0.60311909,-0.255326228,-0.362880958,-0.732718619,0.20953378,20.48730052,1.113943352,1.546542663,0
180329B,82.905,-23.694,1.86768,2.62957E+21,33,210,1.998,-0.275940954,-0.352209206,-0.157392684,0.67405994,-0.010784405,0.271302468,21.41988474,1.51851394,2.322219295,0.300595484
180325A,157.416,24.461,1.85846,1.39058E+22,65,94.1,2.25,-0.292989914,0.866034901,-0.000699013,-0.01347696,0.171507601,0.269153218,22.14319598,1.812913357,1.973589623,0.352182518
180314A,99.208,-24.53,1.76908,738000000,110,51.2,1.445,-0.458264978,-0.636298672,0.219651461,-0.26796646,-0.410814084,0.247747473,8.868056362,2.041392685,1.709269961,0.159867847
180205A,126.819,11.536,1.88733,3.11456E+21,10,15.5,1.409,-0.239605588,-0.299812597,-0.270016259,-0.479744435,-0.4368558,0.275847843,21.4933967,1,1.190331698,0.148910993
180115A,12.04,-15.632,1.9512,4.11125E+20,7.6,40.9,2.487,-0.121501781,-0.591882177,-0.281768284,-0.329067668,0.342948893,0.290301787,20.61397389,0.880813592,1.611723308,0.395675785
171222A,148.273,35.624,1.99001,1.06857E+20,19,174.8,2.409,-0.049737122,-0.624754218,-0.225946164,0.465248043,0.286525176,0.298855259,20.02880299,1.278753601,2.242541428,0.3818368
171205A,167.423,-12.599,1.66173,4.72535E+19,36,189.4,0.0368,-0.656768872,-0.63119357,-0.142702652,0.551857523,-1.429479175,0.22056046,19.67443398,1.556302501,2.277379975,-1.434152181
171020A,39.26,15.199,1.69134,1.71087E+21,12,41.9,1.87,-0.602016191,-0.451462313,-0.260222905,-0.323135512,-0.10337717,0.22823092,21.23321701,1.079181246,1.622214023,0.271841607
170903A,254.532,34.985,2.20256,5.49172E+21,24,29.2,0.886,0.343295041,-0.04299305,-0.201462778,-0.398473896,-0.81518405,0.342927748,21.73970807,1.380211242,1.465382851,-0.052566278
170705A,191.708,18.298,1.89159,1.22721E+21,95,217.3,2.01,-0.231728303,-0.503714801,0.146201303,0.71736468,-0.002103833,0.276827009,21.0889203,1.977723605,2.337059726,0.303196057
170604A,342.645,-15.406,1.79412,1.4473E+21,51,26.7,1.329,-0.411962812,-0.479937486,-0.069252494,-0.413304286,-0.494726278,0.253851488,21.16055856,1.707570176,1.426511261,0.123524981
170531B,286.901,-16.414,2.06685,4310000000,20,164.13,2.366,0.092349876,-0.636298672,-0.221049487,0.401951937,0.255419794,0.315308959,9.63447727,1.301029996,2.215187969,0.37401474
170519A,163.429,25.374,1.97351,2.18739E+21,11,216.4,0.818,-0.080247735,-0.399980773,-0.265119582,0.71202574,-0.864373956,0.295239331,21.33992622,1.041392685,2.335257256,-0.087246696
170405A,219.824,-25.236,1.8473,1.62E+13,37,164.7,3.51,-0.313626183,-0.63629867,-0.137805975,0.405333266,1.082967631,0.26653743,13.20951501,1.568201724,2.216693599,0.545307116
170202A,152.526,5.021,1.99768,5.19173E+21,33,46.2,3.645,-0.03555431,-0.075402479,-0.157392684,-0.297627241,1.180624063,0.300525922,21.7153121,1.51851394,1.664641976,0.561697533
170113A,61.735,-71.933,1.81917,2.77299E+21,6.7,20.66,1.968,-0.365642155,-0.336714615,-0.286175294,-0.449134509,-0.032485834,0.259873285,21.4429483,0.826074803,1.315130317,0.294025094
161219B,91.717,-26.801,1.86204,1.46524E+21,15,6.94,0.1475,-0.286370036,-0.477999311,-0.245532873,-0.530523692,-1.349400901,0.269989006,21.16590877,1.176091259,0.84135947,-0.83120798
161129A,316.221,32.137,1.74506,3.26298E+21,36,35.53,0.645,-0.502681033,-0.283777716,-0.142702652,-0.360923347,-0.989518865,0.241810364,21.51361454,1.556302501,1.550595207,-0.190440285
161117A,322.053,-29.612,1.92624,7.53995E+21,200,125.7,1.549,-0.167656017,0.178290925,0.660352409,0.173979175,-0.335582463,0.284710397,21.87736847,2.301029996,2.099335278,0.190051418
161108A,180.776,24.905,2.00325,1.44793E+21,11,105.1,1.159,-0.025254667,-0.479869639,-0.265119582,0.051776758,-0.617701044,0.301735151,21.16074697,1.041392685,2.021602716,0.064083436
161017A,142.77,43.125,1.99404,1.58757E+21,53,216.3,2.0127,-0.042285136,-0.46478321,-0.059459139,0.711432524,-0.000150704,0.299733866,21.20073288,1.72427587,2.335056519,0.303779047
161014A,332.626,7.467,1.83236,1.53665E+22,19,18.3,2.823,-0.341252156,1.023843776,-0.225946164,-0.463134398,0.5860049,0.263010803,22.18657496,1.278753601,1.26245109,0.450710878
160804A,221.652,10.002,1.87827,2.00515E+21,114,144.2,0.736,-0.256358688,-0.41966934,0.23923817,0.283724064,-0.923691196,0.273758022,21.30214687,2.056904851,2.15896526,-0.133122186
160703A,287.414,36.913,1.87668,2.96986E+21,90,44.4,1.5,-0.259298802,-0.315445475,0.121717917,-0.308305122,-0.371028131,0.273390226,21.47273598,1.954242509,1.64738297,0.176091259
160624A,330.21,29.667,1.60333,3.37336E+21,0.4,0.2,0.483,-0.764757949,-0.27185265,-0.31702436,-0.570506424,-1.106706583,0.205022919,21.52806282,-0.397940009,-0.698970004,-0.316052869
160425A,280.339,-54.343,2.51113,1.13529E+22,21,304.58,0.555,0.913880477,0.590228591,-0.21615281,1.235123271,-1.054623153,0.399869197,22.05510681,1.322219295,2.483701382,-0.255707017
160410A,150.695,3.461,1.65672,13300000000,7.8,8.2,1.717,-0.666033003,-0.636298672,-0.280788949,-0.523049175,-0.214054459,0.219249115,10.12385164,0.892094603,0.913813852,0.234770295
160327A,146.698,54.018,1.93554,5.32793E+20,14,28,4.99,-0.150459126,-0.578737596,-0.25042955,-0.405592483,2.153571475,0.286802151,20.72655851,1.146128036,1.447158031,0.698100546
160314A,112.766,17.024,1.95129,7.91E+11,2.8,8.73,0.726,-0.121335359,-0.636298672,-0.305272335,-0.519905132,-0.930925006,0.290321819,11.89817648,0.447158031,0.941014244,-0.139063379
160227A,195.034,78.672,1.72551,2.62964E+21,31,316.5,2.38,-0.538831486,-0.352201643,-0.167186038,1.305834572,0.265547128,0.236917481,21.4198963,1.491361694,2.500373714,0.376576957
160203A,161.967,-24.772,1.75592,1.03713E+22,12,20.2,3.52,-0.482599503,0.484179991,-0.260222905,-0.451863301,1.090201441,0.244504725,22.0158332,1.079181246,1.305351369,0.546542663
160131A,78.17,-7.037,2.02332,4.79697E+21,204,325,0.97,0.011857333,-0.118050957,0.679939118,1.3562579,-0.754420048,0.306064574,21.680967,2.309630167,2.511883361,-0.013228266
160121A,109.08,-23.59,2.2054,2.4247E+16,6.1,12,1.96,0.348546565,-0.636296052,-0.2891133,-0.500506982,-0.038272882,0.34348737,16.38465801,0.785329835,1.079181246,0.292256071
151215A,93.622,35.529,2.20942,3.83E+11,3.1,17.8,2.59,0.355980059,-0.636298672,-0.303803332,-0.466100476,0.417457133,0.344278281,11.58319877,0.491361694,1.250420002,0.413299764
151112A,2.05,-61.68,2.17922,1.03551E+21,9.4,19.32,4.1,0.300136393,-0.524426149,-0.272954266,-0.457083598,1.509762407,0.338301076,21.01515304,0.973127854,1.286007122,0.612783857
151111A,56.85,-44.154,1.78024,6.06749E+20,17,76.93,3.5,-0.437628709,-0.57074765,-0.235739519,-0.115332081,1.075733821,0.250478555,20.78300907,1.230448921,1.886095732,0.544068044
151031A,83.189,-39.125,2.12551,9.68804E+21,3.2,5,1.167,0.200819726,0.410362991,-0.303313664,-0.542032075,-0.611913996,0.327463153,21.98623592,0.505149978,0.698970004,0.067070856
151029A,38.537,-35.356,2.307153,3.56413E+21,3.9,8.95,1.423,0.536700889,-0.251242641,-0.29988599,-0.518600058,-0.426728466,0.363076396,21.55195354,0.591064607,0.951823035,0.1532049
151027B,76.188,-6.428,1.81176,4.14649E+22,15,80,4.063,-0.379344194,3.843422837,-0.245532873,-0.097120362,1.482997311,0.258100667,22.61768062,1.176091259,1.903089987,0.608846822
151027A,272.498,61.361,2.00612,4.47471E+21,78,129.69,0.38,-0.019947669,-0.15286679,0.062957791,0.197648478,-1.181214824,0.302356908,21.65076489,1.892094603,2.11290649,-0.420216403
151021A,337.647,-33.189,1.96079,2.1701E+22,280,110.2,2.33,-0.103768643,1.708200808,1.052086586,0.082030754,0.229378079,0.292431083,22.33647975,2.447158031,2.042181595,0.367355921
150915A,319.675,-34.874,1.79,8.6E+20,8,164.7,1.968,-0.419581219,-0.543387306,-0.279809614,0.405333266,-0.032485834,0.252853031,20.93449845,0.903089987,2.216693599,0.294025094
150910A,5.677,33.466,1.78547,6.957E+20,48,112.2,1.359,-0.427957769,-0.561137698,-0.083942525,0.093895067,-0.473024848,0.251752557,20.842422,1.681241237,2.049992857,0.133219457
150821A,341.913,-57.883,2.21622,2.19065E+22,7.9,172.1,0.755,0.36855413,1.730402303,-0.280299281,0.449231221,-0.909946958,0.34561287,22.340573,0.897627091,2.23578087,-0.122053048
150818A,230.34,68.342,1.9776,8.86699E+20,41,123.3,0.282,-0.072684801,-0.54050284,-0.118219266,0.159742,-1.252106159,0.296138453,20.94777622,1.612783857,2.090963077,-0.549750892
150727A,203.968,-18.32,1.79253,1.08E+12,37,88,0.313,-0.414902926,-0.636298672,-0.137805975,-0.049663113,-1.229681349,0.253466433,12.03342376,1.568201724,1.944482672,-0.504455662
150424A,152.305,-26.646,1.98937,1.04443E+21,15,91,3,-0.050920564,-0.523462679,-0.245532873,-0.031866644,0.714043333,0.298715564,21.01887726,1.176091259,1.959041392,0.477121255
150423A,221.601,12.264,1.53257,3.85306E+20,0.63,0.22,1.394,-0.895602248,-0.594671571,-0.315898125,-0.570387781,-0.447706514,0.18542032,20.58580577,-0.200659451,-0.657577319,0.144262774
150403A,311.505,-62.706,1.70996,6.17159E+21,170,40.9,2.06,-0.567585427,0.030458139,0.513452093,-0.329067668,0.034065216,0.232985951,21.79039707,2.230448921,1.611723308,0.31386722
150323A,128.173,45.442,2.0639,4.92829E+21,61,149.6,0.593,0.086894948,-0.103863607,-0.020285722,0.315757707,-1.027134676,0.314688651,21.69269626,1.785329835,2.174931594,-0.226945307
150314A,126.661,63.839,1.84772,1.04028E+22,220,14.79,1.758,-0.31284955,0.487583139,0.758285953,-0.483956266,-0.184395839,0.26663616,22.01715025,2.342422681,1.169968174,0.245018871
150301B,89.159,-57.969,1.80944,6.52E+12,18,12.44,1.5169,-0.383634171,-0.636298671,-0.230842842,-0.497896833,-0.358802992,0.257544187,12.8142476,1.255272505,1.09482038,0.180956951
150206A,10.076,-63.181,1.82177,9.36766E+21,139,83.2,2.087,-0.360834422,0.375750266,0.3616551,-0.078137462,0.053596502,0.260493546,21.97163112,2.1430148,1.920123326,0.319522449
150120A,10.33,33.98,2,6.5E+21,1.4,1.2,0.46,-0.031264333,0.065938396,-0.312127683,-0.564574268,-1.123344346,0.301029996,21.81291336,0.146128036,0.079181246,-0.337242168
150101B,188.044,-10.956,2.30384,4.92098E+20,0.23,0.018,0.093,0.530574728,-0.58313414,-0.317856795,-0.571586077,-1.388825164,0.362452314,20.6920516,-0.638272164,-1.744727495,-1.031517051
141225A,138.754,33.774,1.67237,1.47644E+20,25,40.24,0.915,-0.63709415,-0.620347707,-0.196566101,-0.332982891,-0.794206002,0.223332368,20.16921656,1.397940009,1.604657972,-0.038578906
141221A,198.283,8.197,2.22288,2.93689E+21,21,36.9,1.452,0.380869323,-0.319007437,-0.21615281,-0.352796293,-0.405750418,0.346916018,21.46788768,1.322219295,1.567026366,0.161966616
141220A,195.058,32.146,1.80565,3.06016E+21,26,7.21,1.3195,-0.390642366,-0.305689782,-0.191669424,-0.52892201,-0.501598397,0.256633572,21.48574413,1.414973348,0.857935265,0.120409395
141212A,39.167,18.163,1.95822,1.22819E+21,0.72,0.3,0.596,-0.108520902,-0.503609141,-0.315457424,-0.569913209,-1.024964533,0.291861482,21.08926626,-0.142667504,-0.522878745,-0.22475374
141121A,122.665,22.206,1.93447,3.94373E+21,53,549.9,1.47,-0.152437693,-0.210231996,-0.059459139,2.690399823,-0.39272956,0.286561999,21.59590717,1.72427587,2.74028372,0.167317335
141109A,144.563,-0.581,1.95256,1.34825E+22,68,200,2.993,-0.118986967,0.820303062,0.013991019,0.614738378,0.708979666,0.290604388,22.12977043,1.832508913,2.301029996,0.476106717
141026A,44.049,26.925,1.91933,2.84836E+21,13,146,3.35,-0.180433491,-0.328571906,-0.255326228,0.294401945,0.967226675,0.283149652,21.45459488,1.113943352,2.164352856,0.525044807
141004A,76.721,12.828,1.79496,3.14274E+21,6.7,3.92,0.57,-0.410409544,-0.296767606,-0.286175294,-0.548438804,-1.043772438,0.254054775,21.49730912,0.826074803,0.593286067,-0.244125144
140907A,48.133,46.596,2.00735,3.02766E+21,43,79.2,1.21,-0.017673242,-0.309200967,-0.108425912,-0.101866087,-0.580808614,0.302623102,21.4811071,1.633468456,1.898725182,0.08278537
140903A,238.021,27.608,1.63218,1.19852E+21,1.4,0.3,0.351,-0.711410605,-0.506815231,-0.312127683,-0.569913209,-1.202192872,0.212768052,21.07864384,0.146128036,-0.522878745,-0.454692884
140710A,41.088,35.499,1.99391,3.30451E+21,2.3,3.52,0.558,-0.042525523,-0.279291394,-0.307720674,-0.550811666,-1.05245301,0.299705551,21.51910668,0.361727836,0.546542663,-0.253365801
140703A,13.01,45.102,1.82756,7.41044E+21,39,67.1,3.14,-0.350127971,0.164299122,-0.12801262,-0.173645177,0.81531667,0.261871644,21.869844,1.591064607,1.82672252,0.496929648
140629A,249.017,41.897,1.95996,5.52967E+21,24,42,2.275,-0.105303419,-0.038892634,-0.201462778,-0.322542297,0.189592126,0.292247208,21.74269921,1.380211242,1.62324929,0.356981401
140622A,317.153,-14.412,1.5546,5.472E+20,0.27,0.13,0.959,-0.854865958,-0.577181087,-0.317660928,-0.570921675,-0.762377239,0.191618663,20.73814629,-0.568636236,-0.886056648,-0.018181393
140614A,231.171,-79.11,1.77015,1.11E+12,13,720,4.233,-0.456286411,-0.636298672,-0.255326228,3.699459587,1.605972076,0.248010069,12.04532298,1.113943352,2.857332496,0.626648268
140518A,227.231,42.396,1.93772,2.89394E+22,10,60.5,4.707,-0.146428027,2.490212007,-0.270016259,-0.212797407,1.948854659,0.287291022,22.46148952,1,1.781755375,0.672744198
140515A,186.071,15.099,1.78553,2.33841E+22,5.9,23.4,6.32,-0.427846822,1.890036994,-0.290092636,-0.432880401,3.115668173,0.251767151,22.36892066,0.770852012,1.369215857,0.800717078
140512A,289.366,-15.087,1.84304,2.12933E+21,140,154.8,0.725,-0.321503469,-0.406253155,0.366551777,0.34660492,-0.931648387,0.265534761,21.32824338,2.146128036,2.189770956,-0.139661993
140506A,276.806,-55.556,1.74751,6.57119E+21,28,111.1,0.889,-0.498150669,0.073629513,-0.18187607,0.087369695,-0.813013907,0.24241967,21.81764402,1.447158031,2.045714059,-0.051098239
140430A,102.942,23.033,2.15785,4.76398E+21,11,173.6,1.6,0.260620527,-0.12161508,-0.265119582,0.458129456,-0.298690033,0.334021252,21.67796993,1.041392685,2.239549721,0.204119983
140428A,194.365,28.331,2.9965,1.73237E+21,3.4,17.42,4.7,1.81139175,-0.449139086,-0.302334329,-0.468354695,1.943790992,0.476614282,21.23864168,0.531478917,1.241048151,0.672097858
140423A,197.276,49.838,2.06486,6.59878E+21,94,134,3.26,0.088670111,0.076610239,0.141304626,0.223216071,0.902122387,0.314890611,21.81946365,1.973127854,2.127104798,0.5132176
140419A,127.001,46.234,1.87322,1.09886E+22,160,94.7,3.956,-0.265696785,0.550870905,0.464485321,-0.009917666,1.405595546,0.272588786,22.04094236,2.204119983,1.976349979,0.597256283
140318A,184.049,20.225,2.30719,1.90491E+21,2.9,8.43,1.02,0.536769307,-0.430499456,-0.304782667,-0.521684779,-0.718250999,0.363083361,21.27987332,0.462397998,0.925827575,0.008600172
140311A,209.293,0.607,1.62664,14000000000,23,71.4,4.95,-0.721654775,-0.636298672,-0.206359456,-0.148136905,2.124636236,0.211291448,10.14612804,1.361727836,1.853698212,0.694605199
140304A,30.653,33.48,2.01927,3.0237E+22,12,15.6,5.283,0.004368364,2.630400133,-0.260222905,-0.479151219,2.365522101,0.305194393,22.4805387,1.079181246,1.193124598,0.722880611
140301A,69.521,-34.249,2.42752,7.36699E+21,4.4,31,1.416,0.759274883,0.159604937,-0.297437652,-0.387796014,-0.431792133,0.385162817,21.86729008,0.643452676,1.491361694,0.151063253
140213A,105.166,-73.136,1.96657,9.81457E+20,120,60,1.2076,-0.093080683,-0.53026552,0.268618233,-0.215763485,-0.582544728,0.29370941,20.99187128,2.079181246,1.77815125,0.081923104
140206A,145.321,66.762,1.88134,1.01231E+22,160,93.6,2.73,-0.250681865,0.457365338,0.464485321,-0.016443038,0.51873047,0.274467289,22.00531353,2.204119983,1.971275849,0.436162647
140114A,188.498,27.942,2.35235,1.35496E+21,32,139.7,3,0.620275929,-0.489913574,-0.162289361,0.257029361,0.714043333,0.37150194,21.13192647,1.505149978,2.145196406,0.477121255
131227A,67.369,28.879,1.92381,4.97208E+21,8.4,18,5.3,-0.172149398,-0.09913269,-0.277850943,-0.464914045,2.377819578,0.284162178,21.69653811,0.924279286,1.255272505,0.72427587
131117A,332.354,-31.761,2.15896,1.03919E+22,2.5,11,4.18,0.262673059,0.486405542,-0.306741338,-0.506439138,1.567632885,0.334244596,22.01669496,0.397940009,1.041392685,0.621176282
131105A,70.973,-63.005,2.24976,2.12567E+21,71,112.3,1.686,0.430573884,-0.406648784,0.02868105,0.094488282,-0.236479269,0.352136191,21.32749584,1.851258349,2.050379756,0.22685757
131103A,348.948,-44.645,2.1927,3.58073E+21,8.2,17.3,0.599,0.325062639,-0.249449235,-0.278830278,-0.469066554,-1.02279439,0.340979217,21.55397157,0.913813852,1.238046103,-0.222573178
131030A,345.074,-5.38,2.09466,6.94683E+20,290,41.1,1.293,0.143774126,-0.561247571,1.101053358,-0.327881237,-0.520767993,0.321113539,20.84178667,2.462397998,1.613841822,0.111598525
131004A,296.108,-2.952,2.21436,2.62515E+21,2.8,1.54,0.717,0.365114752,-0.352686727,-0.305272335,-0.562557335,-0.937435435,0.345248228,21.41915412,0.447158031,0.187520721,-0.144480844
130907A,215.898,45.602,1.99054,1.79173E+21,1400,360,1.238,-0.048757084,-0.442726484,6.536365053,1.563883366,-0.560553946,0.298970909,21.25327257,3.146128036,2.556302501,0.092720645
